Date,Close,High,Low,Open,Volume,,,,,
2023-04-18,15882.66992,15916.28027,15802.75,15841.5,63384400,,,,,
2023-04-19,15895.2002,15908.46973,15829.5498,15850.51953,55122300,,,,,
2023-04-20,15795.96973,15883.30957,15734.25,15864.15039,74754500,,,,,
2023-04-21,15881.66016,15899.62012,15706.83008,15782.58008,77403200,,,,,
2023-04-24,15863.9502,15919.11035,15831.09961,15852.26953,50552200,,,,,
2023-04-25,15872.12988,15891.73047,15794.80957,15836.79004,66489300,,,,,
2023-04-26,15795.73047,15826.01953,15694.36035,15804.5,74374600,,,,,
2023-04-27,15800.4502,15859.25,15706.69043,15739.34961,79622200,,,,,
2023-04-28,15922.37988,15922.37988,15688.16992,15884.79004,91511200,,,,,
2023-05-02,15726.94043,16011.55957,15707.5498,15950.36035,80224800,,,,,
2023-05-03,15815.05957,15868.87988,15745.98047,15774.01953,61988400,,,,,
2023-05-04,15734.24023,15796.70996,15662.32031,15781.45996,81687600,,,,,
2023-05-05,15961.01953,15961.54004,15755.96973,15837.44043,69955200,,,,,
2023-05-08,15952.83008,15996.16016,15933.69043,15967.57031,40927300,,,,,
2023-05-09,15955.48047,15962.62012,15879.55957,15950.88965,60426400,,,,,
2023-05-10,15896.23047,15984.82031,15848.69043,15973.37988,67473800,,,,,
2023-05-11,15834.91016,15970.54004,15754.75977,15943.84961,67890500,,,,,
2023-05-12,15913.82031,15938.00977,15852.09961,15918.25,62915400,,,,,
2023-05-15,15917.24023,15982.09961,15874.24023,15966.95996,53099400,,,,,
2023-05-16,15897.92969,15968.41016,15862.37012,15892.78027,63874300,,,,,
2023-05-17,15951.2998,15992.76953,15862.15039,15883.61035,89827900,,,,,
2023-05-18,16163.36035,16230.44043,16069.41992,16069.41992,73640100,,,,,
2023-05-19,16275.37988,16331.94043,16203.59961,16233.11035,90102600,,,,,
2023-05-22,16223.99023,16267.92969,16196.36035,16235.98047,54200300,,,,,
2023-05-23,16152.86035,16224.32031,16143.98047,16186.44043,56755000,,,,,
2023-05-24,15842.12988,16013.29004,15802.86035,16008.51953,65922900,,,,,
2023-05-25,15793.7998,15872.59961,15726.5,15872.45996,66145400,,,,,
2023-05-26,15983.96973,16008.58984,15726.74023,15850.08984,57308100,,,,,
2023-05-29,15952.73047,16079.73047,15925.21973,16064.12988,24247000,,,,,
2023-05-30,15908.91016,16058.42969,15889.45996,15962.30957,54563500,,,,,
2023-05-31,15664.01953,15871.7002,15629.12012,15757.42969,172555100,,,,,
2023-06-01,15853.66016,15863.41016,15734.86035,15744.00977,55198400,,,,,
2023-06-02,16051.23047,16071.32031,15922.61035,15949.04004,96604000,,,,,
2023-06-05,15963.88965,16114.83984,15928.44043,16079.86035,63777600,,,,,
2023-06-06,15992.44043,16009.28027,15925.55957,15939.30957,52413000,,,,,
2023-06-07,15960.55957,16020.28027,15909.84961,15998.09961,67870200,,,,,
2023-06-08,15989.95996,16019,15913.9502,15951.61035,59532100,,,,,
2023-06-09,15949.83984,15998.90039,15924.50977,15993.01953,58242200,,,,,
2023-06-12,16097.87012,16126.2998,16021.5498,16052.91016,61393600,,,,,
2023-06-13,16230.67969,16232.7002,16088.46973,16218.2002,72345000,,,,,
2023-06-14,16310.79004,16336.26953,16217.4502,16219.08984,75755600,,,,,
2023-06-15,16290.12012,16301.73047,16165.66016,16275.73047,80150500,,,,,
2023-06-16,16357.62988,16427.41992,16276.79004,16306.62988,211233000,,,,,
2023-06-19,16201.2002,16302.29004,16189.57031,16272.20996,52459700,,,,,
2023-06-20,16111.32031,16184.2998,16069.09961,16100.29004,68396400,,,,,
2023-06-21,16023.12988,16145.29004,16002.26953,16082.75,62212100,,,,,
2023-06-22,15988.16016,15988.20996,15810.48047,15867.65039,65000700,,,,,
2023-06-23,15829.94043,15917.13965,15733.12012,15862.79004,108856500,,,,,
2023-06-26,15813.05957,15874.90039,15713.7002,15874.15039,72427600,,,,,
2023-06-27,15846.86035,15895.7002,15758.12988,15873.73047,63273400,,,,,
2023-06-28,15949,15994.30957,15906.87988,15922.70996,69914300,,,,,
2023-06-29,15946.71973,15998.66992,15920.04004,15960.46973,54568800,,,,,
2023-06-30,16147.90039,16176.5498,15978.90039,15989.42969,85583300,,,,,
2023-07-03,16081.04004,16209.29004,16070.49023,16187.91016,52047600,,,,,
2023-07-04,16039.16992,16103.9502,16023.71973,16082.92969,42493900,,,,,
2023-07-05,15937.58008,15982.95996,15901.38965,15930.16016,66456400,,,,,
2023-07-06,15528.54004,15846.25,15495.83984,15816.11035,80363000,,,,,
2023-07-07,15603.40039,15661.41016,15456.16016,15515,67259700,,,,,
2023-07-10,15673.16016,15722.03027,15545.33008,15585.33984,53384600,,,,,
2023-07-11,15790.33984,15807.66016,15659.09961,15716.25977,60828200,,,,,
2023-07-12,16023,16044.28027,15806.28027,15842.25977,72341400,,,,,
2023-07-13,16141.03027,16185.11035,16000.37988,16009.25977,64992600,,,,,
2023-07-14,16105.07031,16149.12012,16071.74023,16123.12988,61718900,,,,,
2023-07-17,16068.65039,16102.50977,15995.4502,16013.51953,45553500,,,,,
2023-07-18,16125.49023,16140.2002,16031.07031,16042.03027,56765300,,,,,
2023-07-19,16108.92969,16240.79004,16075.16992,16190,62950200,,,,,
2023-07-20,16204.21973,16211.42969,16050.98047,16059.21973,66295300,,,,,
2023-07-21,16177.21973,16181.33984,16103.48047,16125.20996,69913700,,,,,
2023-07-24,16190.9502,16208.75977,16121.26953,16126.70996,51532000,,,,,
2023-07-25,16211.58984,16225.88965,16135.59961,16169.75,56468900,,,,,
2023-07-26,16131.45996,16212.91016,16000.04004,16183.7002,76242600,,,,,
2023-07-27,16406.0293,16408.80078,16131.63965,16162.16016,96512200,,,,,
2023-07-28,16469.75,16490.13086,16336.41992,16356.37988,70297300,,,,,
2023-07-31,16446.83008,16528.9707,16427.4707,16434.66016,60748100,,,,,
2023-08-01,16240.40039,16430.66016,16240.40039,16414.78906,63456600,,,,,
2023-08-02,16020.01953,16140.75977,15955.30957,16027.65039,74404800,,,,,
2023-08-03,15893.37988,15920.32031,15807.84961,15879.03027,82642000,,,,,
2023-08-04,15951.86035,15973.95996,15784.51953,15917.00977,77046600,,,,,
2023-08-07,15950.75977,15962.61035,15824.78027,15877.54004,68246900,,,,,
